externalId,tag
5914e5b0-4fdf-5571-aea3-7eb2c0ed0256,(Keine Auswahl)
039c9f81-8182-5d47-84cb-5e5dd0feb825,(Keine Auswahl)
c9876898-fd20-4810-845d-20049a1e294b,Peking
faac5f98-e5b5-444a-8421-8be1ef32a2cd,Kiew
41509117-3d24-4b78-b794-b6e24bdcb7cb,München
6bf046ec-bda8-4577-93da-20cea69ebc91,(Keine Auswahl)
40d25339-3627-4cac-aff1-0566a61e3192,(Keine Auswahl)
e9491567-7778-5bcd-b381-8377943dde2a,(Keine Auswahl)
6e4d03fa-b83c-43b6-a1df-c351fd556430,Berlin
8b0a76b3-a574-47a4-9b98-ab4c86b5c551,München
82f34e9a-feda-5591-80a5-784a7b4cb022,(Keine Auswahl)
b3b76bf0-ab67-416a-8082-975aa54f03fd,(Keine Auswahl)
23e250ce-e9ff-510f-b70b-ef8d6132de72,(Keine Auswahl)
b790ed6c-7959-40f0-8167-22760e71522c,(Keine Auswahl)
cde4b268-ecc1-45ea-87e1-de325155dd74,(Keine Auswahl)
53bdd3fd-cf9e-4301-a2ce-c2b5eb8f5510,Brüssel
0e3a2fca-42ab-4628-b76e-f6563d3cdf87,Tel Aviv
273cd96b-6d54-5d67-92d2-edde59668742,(Keine Auswahl)
5f7956b4-896a-4f5e-b61f-290043b7763c,Karlsruhe
851519f1-cc50-4de7-904b-939beb4f86f3,(Keine Auswahl)
708ead15-3f3d-41bd-98f1-00b3ca00d210,München
793795a4-e7c1-5cd2-8047-56672346a9a8,(Keine Auswahl)
7a9f92cc-2eaa-4c4e-b750-37072548a590,(Keine Auswahl)
a30eb106-178c-5331-821d-346d79921d6e,(Keine Auswahl)
b95e8761-9953-5ea0-b9dc-0503d2db511b,(Keine Auswahl)
ebfc15ac-1c45-4082-9586-45d4af9edd4e,(Keine Auswahl)
a54b62ce-4c8d-41a9-9aad-983b5c94ba13,(Keine Auswahl)
354e2ce1-4ffd-4f47-bdd7-37196893b426,Essen
10ded7a0-5809-48e7-995e-50c28cd0a037,Moskau
ec6bea9a-35df-4efe-9dd2-cf45e37b4b70,Wolfsburg
66133c46-e984-44eb-90ef-361a969cbff5,(Keine Auswahl)
